id,txt
1,tsoh8-jit8 tsu7-huat4-sing3 tsip8-khauan
2,tsing3-ti7 tsu2-kiann1 ho5-se3-ui5 ，
3,tsue3-kin7 nng7-sann1-ko3-i2-lai5 ，
4,tsin1-kuann2 kah4-mia5 tak8-sian7 ，
5,lam7-sam2 hiong3-khai1-hong3 ，
6,kau3-tiunn5 kuan1-le2 ，
7,hak8-sing1 ham5 tsiah8-peh4 u7-tshing3 ，
8,tsing5-tsu3 jit8-tai7-e5 se3-koo2 ，
9,king1-lik8 ji7-tsap8-ni5 tsau2-tshue7 ，
10,ah4-si7 tsing3-a2 pang5-san2-kong2-lang5
11,si7-kuann1 goo7-si7-khang1 pian2-ki7 。
12,ti7 pian2-tshi7 tshia1-kiann7-lam7 ，
13,tsing3-bing5 hue3-khi3 kau3-thong3-lui2 
14,bi2-kok4 kiann3-hun7 tsap8-goo7-thai5 ，
15,thau5-pai2-ti7 phai3-tsu3 hai2-gua7 ，
16,bin5-tsiong3 lak8-ho7 e5 huan3-tiau2 ，
17,m7-koh4 tsit8-e5-siong7-tshu3-bi7 ，
18,tshiong1-sing7 「 tsit8-e5 san2-guat8 。
19,kai2-iong7 siong7-phan2-pi7 ui5-tsu2 。
20,i1-kong2 ， i1-ta1-u7 tsit4-ui7 a1-hiannn
21,ka1-siu1-e5 hui3-iong7 long2-huan5 ，
22,siong3-tshi7 ping5-ka1-e5 sin1-kok8 ，
23,tau3-tsiok4 tsing3-hap8 goo7-ik4 ，
24,tsuan1-bun5 tsiam1-ui7 ham5-tsing3-jin5 
25,li7-iong7 ko3-jin5 sio2-tshik4-e5 ing3 ，
26,li2-khing3-tsik8 un7-bun7 piau2-si7
27,ji7-pat4-ji7-ki7-liam7-beh4-kau3 ，
28,gin2-a2 lau7-pe7 tsai1-hue7 thau1-au7 ，
29,ki3-liam7 tsit8-ni5 tai5-uan5 tsok4-ka1 
30,sann3-tioh8 tsioh4-tong2-e5 an3-kiannn7 
31,sing5-tso3 ma7-bian2 siunn7-beh4 。
32,i2-king1 nng7-kiau3 le2-pai3-pi2 ，
33,ki5-tiong1 sui7-tian2 kong1-si2-ti7 ，
34,ka1-jip8 「 gua7-ke1 」 ian2-lai5 ，
35,bin5-si7-sin1-bun5 sia7-tik4-po3 po7
36,sim7-tsi3 pi2-sang1-tsing5 iau2-lang5 ！
37,kiu3-king3 si7-thue3 tai5-uan5 ，
38,li2-tsai1-iann2 tai5-uan5-ui7 ，
39,in1 tsah4-tioh8 tshiong1-phau3-hong1 ，
40,kin1-a2-jit8 khi2-a2 sann1-gi7-pai2 ，
41,tsap8-peh4-ho7 i1 kim1-tshiann3-u7 ，
42,「 sui1-jian5 ＊-e5 si5-kong1 ，
43,phainn7-ue7-tshenn1-po3-khi3 loo7-ing1 ，
44,tai5-uan5 ti1-bing5 kau3-siam2-ling5 」 ，
45,phing5-kuan7 ing5-siong5 bun5-iong5 ，
46,thau5-ke1 ka7 kang1-tiunn5 thiah4-tiau7 
47,lian5-sua3 tsing1-a2-kiu5 sing3-san3 ，
48,su2-iam7-bun5 tshiang3-ping5-hi3 ，
49,tso7-sing5 「 peh8-thau5 phau1-a2 」 ，
50,tsa2-i2-king1 tsin3-hing5 kuan2-tse3 ，
51,kin1-tso3-ma2 tsiu7-thok8 tai5-hak8 ，
52,tsiong3-kuan5 tng5-poo7 ti7-thang5-，
53,kho2-ling5-si7 pang5-tsu2-sit8-e5 guan7 
54,bin5-si7-sin1-bun5-po3-to7
55,ji5-tshiann2 kho2-ai3 te7-si3-kui3 ，
56,siong3-kim1 tshuan1-a2 tua7-kim1-bak8 ，
57,pau1-kuat4 ui5-tsit8 ko3-i3-tong7 、
58,lo5-kang1-thuan5 thong3-kim2-huang1 ，
59,ling5-ji7 kap4-tshing3 kap4 sio1-uan5 ，
60,tsuan5-ti7 suat4-ni5-e5 tshia1-ing2 ，
61,in1-ui7 gua7-hing5 sio1-kang5 ，
62,tan7-si7 thai3-too7 kiong5-nge7 ，
63,tsing2-thau5-a2 put4-tuan7-tiunn5 ，
64,u7 ping5-kho2 bin5-tsiong3 kue1-thau5 ，
65,kin1-tsio1 si7-ke3 ah4-tit4-loh8 ，
66,ping7-tshiann2 siong3-ue7 po3-king2 。
67,ti7 tai5-lam5 ing2-khi3 khai1-bo7 ，
68,kue2-long5 ui7-tioh8 pik4-a2-hiong1 ，
69,in1-tshu2 ，
70,to1 huat4-hian7 sin3-ho7 ni5-tshiunn7 ，
71,go7-ho7 gueh8-hun7 au7-pian7-tua7 ，
72,kian3-a2 pun2-kui3 iah4 kiat4-the5 ，
73,lian5-jit8-lai5-e5 tua7-juah8-thinn1 ，
74,to1-e7-sai2 siong3-tsu2 e5 phan3-bi7 。
75,ti7 ham5-ti7 pinn1-hak8 tshai2-si5 ，
76,tshian1-kun2 gi7-tsian3 phan2-tiong1 ，
77,tshoo1-poo7 kuat4-ting7 ，
78,ka7 bi2-tsiu2-phang3 ti7 hioh8-a2 ，
79,pau1-kuat4 ping5-kap4 kam2-ni5-thuan5 ，
80,kun1-ku3 khi3-siong7-po3 tsu1-hian2 ，
81,tsiong1-hua3 khe1-oo5-thau5 ki7-tshi7 ，
82,king1-kue3 tsap8-gua7-ni5-lai5 ，
83,kah4 nng7 tsit8-hui3 sio1-kiat4-hap8 。
84,giam5-tshi7 phue3-sio2-e5 tiong1-kuan5 ，
85,hoo7 i1 kam2-kak4 un1-luan2-bun7 ，
86,tsha2-pe7-ti7 ting3-a2 kap4 ni5-hue5 ，
87,kin1-ni5 tsing3-khu2 ，
88,tsing3-khoo2 tai5-tsian7 kong1-lai7 ，
89,le2-kim1 ham5 tsham5-ting2 pang3-tshi7 ，
90,si7-kan2 si7-ti7 e5 khang3-si7-tik8 、
91,ma2-siang7 jim7-au7 pi2-liang7 i2-tsio2 
92,giap8-tsia2 khah4-koh4 thian1-siong1 ，
93,au7-bin7 khia5-1oo7-1too1 tsin3-hang5 ，
94,ti5-liau2 bok8-ge7 tsok4-phin2 ，
95,m7-koh4 pat4-pat4-tang7-e5 kian3-loo7 ，
96,sam1-lip8-sin1-bun5-tai5
97,tong5-hak8 tsok4-giap8 sio1-kok4-sing1 ，
98,koh4-pang2-hue2 ka7 tshia2-uah8-si2 ，
99,bok8-kik4-tsia2 piau2-si7 ，
