id,text
1,i e phue hu peh e pe peh
2,m na si lan hian tai tai gi lang oh thak lian the lai kai e pian tsia ma hue hue tsit tsiong iong ji huat siunn kue i uat si tsai put kho tshu
3,hai kuan thong kue liau au tsiah khi hau ki sik sio tan si kan na u khah liong e tang khi se bian sue ke
4,tsing lang thiann han tsing li an ne kong long kuann kin tann thauu khuann suann ting tsit e khuann tak ke sim lai long am hua tsit siann gua khoo ah suann e tsiann tshiu ping ua iann kiam tsit puann khi iah
5,oo ba sang li ho li beh ai e mih kiann ti tsia
6,iau m ko u lang ui tioh ko jin e li ik lang hong siann beh lai sio tsinn
7,in na si tong suan ma e pi iau kiu si hian sing lok tui king tshai kai kio lai kong tse i king si tsit e sing li
8,an e bin a tseai kam kang khuan si tsit liap tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn leh u lang an ne m
9,ti jit pun sa ku lah khui e hit tang tsun kui phiann ang ki ki kai sui
10,bi kok kah i ang ma u tiong tong li ik pi luh i lang tsi tshi e si a bin ping
11,ling gua king ki ing bun e gi liau khoo tso tshut lai gi su tah phue kai su in at tshak tsi si tai bing su lat tshatp kuan su oh bo in ui pin lo tsin kuan tsia e gi su e gi su tah phue oo khakt lo lat loh tso pi in hoo ma long pai ti tsiann thau tsing
12,lan tsit tsun ki lok kang ai nng tiam puann tsing
13,tha loo si te ng e kak thau
14,mng kiann kuann hoo ho oo
15,siann mih thau loo e pi tsit lo khah ho
16,hit tui ang a boo oh e si tsing phaie pu lu su thiau kah tsiann ho khuann
17,phainn gin a lang u hinn bo tshui m ho oo pe mng
18,na mng kong tsue kin sua lo lai kam koe e u hong thai siong tsioh tsit si goo kang si bo khuann e lah kuan tsiong pin iu ing lai si bian uan lo
19,thing loh lai e si sim lai kam u buan tsiok e kam kak sing khu na kiann liau siunn kn
20,kho ling bo huat too tsun si si leh
21,tsit ma si guan tsu bin tsok gi ng bang bi lai kheh ka gi tai gi long u ki hu
22,koh le khi sing te ua beh loo si
23,kong ue tioh tsing king m thang hi hi tshio
24,sin niu sin niu sui tang tang khoo te e ho ho bo phua khang si long pue a phang kuan kuan kiann sun tai tai tiong tsiong guan
25,a me a si beh khi tai pak an si beh khi tai lam
26,in to si bo ting e soo phi tsia e tap pai long e lau kau mih kiann
27,thau tsing kong ui tioh pi siat leh sia heo guan na si nua thau lan to m si to leh go ah si u iann hia iau i hia e tsiong kim
28,in ui bo tshu li ham hoo sing e bun te soo i e ing thiong tioh si gbiam kiat ko e phin tsit
29,sua loh lai beh lai siau kai hue ling ki e an tsuan siat pi to sing mng ti hue ling ki e nng ping sang soo am ti thau kha ting kiu sing i ti i a kha
30,tiam tiam tit pinn a tso bo su jin
31,li tsit e lau kau li kam bo hun
32,ia gam tsioh iu huat tian kin oo phiat k te ui pu po
33,he tian tong tshia honnh tsau be tin tang in kai si bo tian a ai ka bat te li the tshut lai tshiong tian tsit e
34,kau kann iau u tsiok tse siau lian lang e tuann gi ta khi liok tsa boo gin a
35,tsit uann thoo tau khng khong ka mi i mi mi tsiann ho loh au
36,u lang te leh bo u lang tin leh bo ah
37,tse to tso sing m na si kann gak siunn kheh hui iong siunn kuan kuan li siunn khun lan nia nia tsiah tse lang khi kuainn
38, soo ni tshiu ki a kam u ho iong
39,lai hang lang o lo u hing ui gua hang e kong gua ok khia khiak
40,kau tann guan tsu bin e tang iong ka ti e bun gi sia kong bun khah sit si tsuan hing tsing gi koh tsai hua tsit tua poo
41,hngh m tsiann niau
42,lai kai jip tsoo tsi ah si tse tshai po hing
43,gun ping iu liam mi to beh lai a tsiah ma huat li theh gua io bi tsit kua mih kiann tshiann bang tsiah
44,si si giam poo soo
45,li si tui to ui tit tioh tsit tsiah ang a e
46,ho ho ho lah a biauku lan to be tsit su ho lah mai hau honnh
47,khah kong ma he
48,han tsing li tsim tsiok ka siau lian ke khuann khuann leh ka kong siau lian ne li tsai iann bo gua e inn a tsiah sann liap bian tsinn neh
49,siann mih lang kong li u tshin ba khuann e si m
50,kiann
51,oo to bai si tsiann ping siong e kau thong kang khu tsuan tai uan tshue bo lang be hiau khia o too bai e
52, tsiok tian nu e pha tsiat long si kee kin pun bo siok gua tse
53,lang gua ko sann pi giap e ing gi tsuan giap thakg nng i
54,tui pu tin lai kong tse tai piau i kiong ge tui khong bi kok ka au tsiu tit tioh sing li
55,senn ang eh kau uan si to tsit e
56,lai khui mng leh
57,tui in tshu lai tshiong kik si siann khuan in tiong kuan e jin sing beh an tsuann
58,it ting ai e lah
59,ong thai thai lin sin pu sit tsai tsin gau tsu ka kui to phang kong kong
60,tsit te phang lai te khu li mu iau koh sio sio gin a lang un ai tsiah e
61,tsu tsia e lang ka i be tsit te thoo tho hi i i hiam siunn tse thua to kuann khi hing hoo lang
62,kau a ann uann kio
63,gua ka ti lai e to e sai ah
64,gua hit tai tshia tsue kin tsiat ka sit liap thai ia tsuan poo uann kue
65,sann siu siu oo ho ki ghi khun
66,ling gua pun sit giam tshai iong kan gua e su lui kan ta hun tua lui tong su mia su hing iong su ting ting
67,m hau hah ha a
68,tsui phang be khi li kho ling ai tau tsit tai phang phu lai phang
69,tsit ma ma si kang khuan a
70,mui tsit e lang long si tok li be mun tsit e lang long u ka ti e sing gua king giam ka ti sik
71,tsu hong be tang pai tshik sin lo a si khi in thau loo e lang kong tai gi
72,lan tsap ni tsing ka jip kap liu thi oo be be mi kiann khah bo khio sue
73,bo jin ho e kuan he
74,iau m ko tai uan tian iann si gua e senn mia bo kun an tsuann gua ing guan long be hong khi
75,gua e ka a kong tshua lai khi tshai tshi a
76,e i tsinn kuai leh tue lang tsau ah
77,na tshuan khui en hiunn tong lian si he ku
78,kiong tsing khong
79,gua
80,u i guan a si u kho ling ti li khong it liok ni tsham suan tsong thong e kiong ho tong jin su
81,bo gua sit leh
82,tse tshe phainn a bin ting u sann e tsiu tsiu sann e sik tsui long bo kang
83,tsi pu ko tse kah lian bing lai te ki tha tong phai e i kian u sio khan lian
84,tshin tshiunn tinn gue pa po png ting mi tsue tsiah mi long a iong tsut bi lai tso
85,tso tsit kua sin the bo tiann e ka i e tai tsi phoo phoo khann thann tsiong i tsing gik khai sin the e giah
86,a san na pa me kue ah
87,tsio gua tsit kha su li pa phah ka tsua
88,li thau mng tshui tshiu peh lau khok khok a iau koh siunn beh ka lang tshua sui boo
89,siunn beh ka ti khuann bi ak to ai sing khi be tsit tsoo kha ho e tsip phi iu siat pi
90,tsin tsing kui kang gua kau tsing tshik e sia tiunn tai bi loo shoo tu ho ma sia bun tsiunn ki tshut tsit tsiong tso huat u tsin tse hong hiam pau kuah bo huat too ing hiong su thai e kiat ko lai po tsing bi kok e li ik sim tsi siong bue ma si tioh theh pat lang tshit kha tshng
91,soo i gua be ka li ke kau
92,phinn i hiong e sng tshoo simn liah thang huenn pang hoo tshoo tsong e u hit kang tsiong li po ji gu e bng
93,ah beh siann poo
94,an ne tso tam boo khe
95,an ne lah
96,i sing jin iau koh u tsin tng e loo ain kiann
97,goa kong li tsit e koo mng kau ah gun tua e leh ka li kong ue li tsit ma si siann thai too ah
98,un gua khiong poo to tshin tshiunn kha lin tsian si gue ji kau ti niu iok e khun n pi a tai hak tsit tiunn ian suak kong e
99,goo tiam ji e iam bi ian su tsoo
100,lai tsia pai tui honnh
101,long hoo se hong mui the khuann tso si sin tsing khuan tui gua tsing tshio kha tok lip tsiak kik e piau hian
102,lau hiann ti ah pua lo to pua loh khi ah li m thang tua sue siann
103,tan si
104,sat bak a tu liau kau tshi i gua koh u siann mih tik sik
105,i kiann kah bin sik peh sut sut
106,i ui tioh phio bang e king lian kong kong po tshuan ka si bing kui si thau tsit tshut tai uan lang hit be tua ki phinn tian iann
